qAAmassFrac,simAAmassFrac,aaMax,aaMin
0.00562185728695229,0.00484488771932486,0.00494781471296764,0.00475715278296553
0.000827099755073383,0.00101601981120555,0.00109178630543299,0.000975942308579471
0.006008754071161,0.00611059865936104,0.0062477131059333,0.00578203644243904
0.00662532262624673,0.00664199474332073,0.00696558993377968,0.00643200671429139
0.00465958048109618,0.00551584601013166,0.00574364829556941,0.00527622290907387
0.00382001735662082,0.00355270556182245,0.0036176759827981,0.0034953825748889
0.00251912940174775,0.0027281378836909,0.00283373676683767,0.0025951079302343
0.00602049975847233,0.00672977362720654,0.00695755227245163,0.00662151892906994
0.00823839414771845,0.00836576409860897,0.00851517703269393,0.00808654357725557
0.00782490936931975,0.00872508130531809,0.00912108661143723,0.00851184087582311
0.00214812928341564,0.00236055848406584,0.00253847220830342,0.00231194171387144
0.00416124479124711,0.0045024978354226,0.00460284544442431,0.00443860762301929
0.0034538608203735,0.00378327115005014,0.00387290148454545,0.00370448792184224
0.00298796374173261,0.00350444128262138,0.00365709212035609,0.00341598070131163
0.00492288484164003,0.00581322502151732,0.00601921567372792,0.00564802544113078
0.00488768340079042,0.00524414951699066,0.00543836807739268,0.00509768569268153
0.00503679229980237,0.00518312148725011,0.0053896788168436,0.00498787540665018
0.00705416263074079,0.00669475024526539,0.00676679228748876,0.00644596799642373
0.0015596260660896,0.00180654537036795,0.00187677801143835,0.00173723026627376
0.0044313818660033,0.00479558018645784,0.00491036507129919,0.00461239579008049
